Price,Address,Beds,Baths,Sqft,URL
$645000,7022 Solano Canyon Ave Las Vegas NV 89113,5,3,3088,https://www.redfin.com/NV/Las-Vegas/7022-Solano-Canyon-Ave-89113/home/175526480
$799999,126 Chateau Whistler Ct Las Vegas NV 89148,5,3.5,3402,https://www.redfin.com/NV/Las-Vegas/126-Chateau-Whistler-Ct-89148/home/29590444
$753226,63 Piropiro Ave Las Vegas NV 89183,5,3,3000,https://www.redfin.com/NV/Las-Vegas/63-Piropiro-Ave-89183/home/179107388
N/A,N/A,N/A,N/A,N/A,N/A
$771514,89 Kokomiko Ave Las Vegas NV 89183,5,4.5,3270,https://www.redfin.com/NV/Las-Vegas/89-Kokomiko-Ave-89183/home/179107365
$429925,9138 Sparklewood Ct Las Vegas NV 89129,5,2.5,2092,https://www.redfin.com/NV/Las-Vegas/9138-Sparklewood-Ct-89129/home/29124174
$850000,6745 Keren Marie Ave Las Vegas NV 89110,5,4.5,4870,https://www.redfin.com/NV/Las-Vegas/6745-Keren-Marie-Ave-89110/home/29397209
$640000,4529 Dawn Peak St Las Vegas NV 89129,5,3,3663,https://www.redfin.com/NV/Las-Vegas/4529-Dawn-Peak-St-89129/home/29928861
$377000,1721 Ginger Tree Ln Las Vegas NV 89104,5,3,1499,https://www.redfin.com/NV/Las-Vegas/1721-Ginger-Tree-Ln-89104/home/29451224
$599900,9062 Ellington Hill Ln Las Vegas NV 89148,5,3,2671,https://www.redfin.com/NV/Las-Vegas/9062-Ellington-Hill-Ln-89148/home/113713627
$559900,3608 Tundra Swan St Las Vegas NV 89122,5,3.5,3765,https://www.redfin.com/NV/Las-Vegas/3608-Tundra-Swan-St-89122/home/29029410
$625000,6512 Alpine Forest Ct Las Vegas NV 89149,5,3,3184,https://www.redfin.com/NV/Las-Vegas/6512-Alpine-Forest-Ct-89149/home/29091731
$628888,7506 Mojave Wind Ave Las Vegas NV 89113,5,4.5,3088,https://www.redfin.com/NV/Las-Vegas/7506-Mojave-Wind-Ave-89113/home/175526103
$659999,3961 Argent Star Ct Las Vegas NV 89147,5,3,3017,https://www.redfin.com/NV/Las-Vegas/3961-Argent-Star-Ct-89147/home/29553524
$640000,3315 Dakota Way Las Vegas NV 89169,5,3.5,3836,https://www.redfin.com/NV/Las-Vegas/3315-Dakota-Way-89169/home/29487232
$999000,5918 Ancient Peaks Ave Las Vegas NV 89141,5,4.5,4934,https://www.redfin.com/NV/Las-Vegas/5918-Ancient-Peaks-Ave-89141/home/167763728
$769000,9592 Staff Ln Las Vegas NV 89178,5,4,4003,https://www.redfin.com/NV/Las-Vegas/9592-Staff-Ln-89178/home/29055832
$300000,1964 H St Las Vegas NV 89106,5,2,1514,https://www.redfin.com/NV/Las-Vegas/1964-H-St-89106/home/29324381
$799999,4205 Topsider St Las Vegas NV 89129,5,4.5,3333,https://www.redfin.com/NV/Las-Vegas/4205-Topsider-St-89129/home/29120388
